1957+20    18-Jun-14   70000.00   56826.29166666660            29.124020 -0.490 -7.035
 299195876530.179174  622.122028784041   ao  300   12   335.250 0.9425   2.6180
 -5.69636957811758826e-08  1.63502966482183898e+00  3.32718136432416222e-03
  4.20142304193005929e-06 -3.73699872551445041e-08 -2.73357286220937897e-11
  1.63432636299103462e-13  8.48099925478465886e-17 -3.82024921719198006e-19
 -1.52275523166086313e-22  5.25048251365007356e-25  1.59916634766647453e-28
1957+20    18-Jun-14  120000.00   56826.50000000000            29.124020 -0.475 -3.726
 299207075373.869674  622.122028784041   ao  300   12   335.250 0.4880   2.6180
  6.47022049902780394e-05  1.78838941975101418e+00 -3.65316414695470836e-03
 -1.63794522069209638e-07  3.94113380149591543e-08  3.25376632775803794e-12
 -1.70843458461341183e-13 -1.12981442261947393e-16  3.43956383298341187e-19
  3.88474064695951081e-21  7.37560290396816682e-25 -5.23335786465130705e-26
1957+20    18-Jun-14  170000.00   56826.70833333330            29.124020 -0.481 -7.072
 299218273994.764573  622.122028784041   ao  300   12   335.250 0.0334   2.6180
 -3.93797480804924938e-08  1.95992542573885853e+00  3.58771512896803981e-03
 -3.51384512389281341e-06 -3.82099995938177671e-08  2.33673850970837831e-11
  1.65673726977869240e-13 -7.34164885001336296e-17 -3.85518923394748933e-19
  1.35952892672975478e-22  5.24465843893039793e-25 -1.43021522397385134e-28
1957+20    18-Jun-14  210000.00   56826.87500000000            29.124020 -0.493 -6.784
 299227233096.989808  622.122028784041   ao  300   12   335.250 0.4698   2.6180
 -1.27044366349943205e-07  1.92747933783078906e+00 -3.50821553346087949e-03
 -1.98345764494510224e-06  3.88601602429999518e-08  1.24403718734043315e-11
 -1.69385050551421793e-13 -3.86665904886462050e-17  3.92195938486447480e-19
  6.98778006233741471e-23 -5.23269608779972701e-25 -5.16610514555087515e-29
1957+20    19-Jun-14   20000.00   56827.08333333330            29.124020 -0.496 -4.399
 299238431739.516112  622.122028784041   ao  300   12   335.250 0.0153   2.6180
 -1.26864149854709340e-05  1.94552340171557003e+00  3.53107230255821124e-03
 -2.19495413645748188e-06 -3.89168877291587743e-08  1.37601214694967151e-11
  1.70695642414688662e-13 -6.72270313567802263e-17 -4.41599437733649881e-19
  1.12534259647915630e-21  1.20445735505935667e-24 -1.56344669151775177e-26
1957+20    19-Jun-14   70000.00   56827.29166666660            29.124020 -0.480 -7.026
 299249630588.871571  622.122028784041   ao  300   12   335.250 0.5607   2.6180
 -1.29664274459845297e-07  1.52463077021896054e+00 -3.41091591060323088e-03
