  9.43746030080031129e-07 -3.92130764408019341e-08 -6.82607423890048527e-12
  1.70846729651106228e-13  9.39680315925967460e-18 -3.81058665907810571e-19
  3.85725708228532368e-22  1.03406476740716763e-25 -5.02140371260224319e-27
1957+20    14-Jun-14   73000.00   56822.31249999990            29.124020 -0.525 -6.960
 298981980249.289256  622.122028784041   ao  300   12   350.000 0.5244   2.6180
 -1.55273575257880436e-07  1.83083200642981780e+00 -3.66825817940176968e-03
  2.84165047695079254e-06  3.87306330058075921e-08 -1.83611970549241962e-11
 -1.67719850267255756e-13  5.63406819026347046e-17  3.88732715891984879e-19
 -9.69935248632988529e-23 -5.21530014610279790e-25  8.65497214783255610e-29
1957+20    14-Jun-14  123000.00   56822.52083333330            29.124020 -0.512 -3.601
 298993178921.569361  622.122028784041   ao  300   12   350.000 0.0699   2.6180
  1.37556726151307970e-04  2.20919143714881683e+00  3.16843000541554591e-03
 -6.35687902472716868e-06 -3.46117643975260651e-08  4.40638284805502737e-11
  1.42248269630985682e-13 -2.88149486573903134e-16 -7.65677528871330256e-22
  6.47505080452033577e-21 -4.60223923502365274e-24 -9.10493224312469231e-26
1957+20    14-Jun-14  173000.00   56822.72916666660            29.124020 -0.518 -6.981
 299004377781.541535  622.122028784041   ao  300   12   350.000 0.6153   2.6180
 -1.26262290865708504e-07  1.49055534513216603e+00 -2.48953720789799483e-03
  9.72970430140158894e-06  2.79283649877202234e-08 -6.31115341069930811e-11
 -1.22244823035847014e-13  1.95357692468078033e-16  2.85623865552712532e-19
 -3.48177157437228186e-22 -3.92157920230404558e-25  3.58406489434770691e-28
1957+20    14-Jun-14  213000.00   56822.89583333330            29.124020 -0.531 -6.685
 299013336717.635481  622.122028784041   ao  300   12   350.000 0.0517   2.6180
 -1.07425490242923916e-07  2.21420857407890015e+00  3.44354382698826983e-03
 -5.18675135332761717e-06 -3.67643107922267694e-08  3.33282569486666493e-11
  1.59433449604971407e-13 -1.03816902268941378e-16 -3.71221489093093758e-19
  1.83930246842143307e-22  5.16498779628604183e-25 -6.76053851810626171e-29
1957+20    15-Jun-14   23000.00   56823.10416666660            29.124020 -0.533 -3.645
 299024535606.915357  622.122028784041   ao  300   12   350.000 0.5972   2.6180
 -5.75129979242840206e-05  1.59817249956603313e+00 -2.91254227811805957e-03
  8.33091229264813124e-06  3.10825791167955956e-08 -5.39967640427338441e-11
 -1.29436453080935971e-13  5.04842617678549576e-17  4.87262636619690260e-20
  4.90509133550116506e-21  3.73565617227924189e-24 -7.95363803940624745e-26
1957+20    15-Jun-14   73000.00   56823.31249999990            29.124020 -0.516 -6.984
 299035734315.511962  622.122028784041   ao  300   12   350.000 0.1426   2.6180
  4.31202381578899008e-08  2.44146232916385753e+00  1.98857957924318453e-03
 -1.11822987454959256e-05 -2.27728866806956395e-08  7.31420378836116869e-11
  9.95281006811264185e-14 -2.27700995100078248e-16 -2.29919360565680223e-19
  4.14898999604769836e-22  3.04580439489789466e-25 -4.77472249114434646e-28
1957+20    15-Jun-14  123000.00   56823.52083333330            29.124020 -0.503 -4.416
 299046933131.559630  622.122028784041   ao  300   12   350.000 0.6880   2.6180
 -2.24968199202145100e-05  1.27771434080892754e+00 -1.22008377164678559e-03
  1.31830182196038540e-05  1.30480197662455122e-08 -8.54163280793806337e-11
 -5.67545801581623644e-14  2.89651701879502544e-16  1.33299815002879035e-19
 -1.43008185622782554e-21 -2.43591574989674005e-25  1.37104539236929765e-26
1957+20    15-Jun-14  173000.00   56823.72916666660            29.124020 -0.510 -7.000
 299058131871.887692  622.122028784041   ao  300   12   350.000 0.2334   2.6180
 -1.32280263658544894e-07  2.53569583587808101e+00  2.78752673882664030e-04
 -1.37162022609367052e-05 -2.17151570079344926e-09  8.97874871034286066e-11
  8.64478447989113247e-15 -2.78773026465294724e-16 -1.82803906757650069e-20
  5.03414241704782780e-22  1.78187845424920540e-26 -5.75946507974062789e-28
1957+20    15-Jun-14  213000.00   56823.89583333330            29.124020 -0.522 -6.386
 299067090918.324310  622.122028784041   ao  300   12   350.000 0.6699   2.6180
 -2.25499799051502581e-07  1.37683237605219877e+00 -1.50479400664030468e-03
  1.23080956207720355e-05  1.70513253084921218e-08 -8.08906682971368881e-11
 -7.48670476034716716e-14  2.51867181834182910e-16  1.74409767718924082e-19
 -4.74012627498680608e-22 -2.09765447492350073e-25  8.68957840858167490e-28
1957+20    16-Jun-14   23000.00   56824.10416666660            29.124020 -0.524 -4.299
 299078289668.822478  622.122028784041   ao  300   12   350.000 0.2153   2.6180
  1.11355142833296887e-05  2.57964068692759207e+00  5.37085636347344039e-04
 -1.37517673637190790e-05 -6.38626819300027974e-09  8.87247003342118613e-11
  2.62070610012541391e-14 -2.56096155304414977e-16  2.70260985649179667e-20
 -4.56979457065359258e-22 -1.52525263327927488e-24  1.56728705946936586e-26
1957+20    16-Jun-14   73000.00   56824.31249999990            29.124020 -0.507 -7.062
 299089488445.648340  622.122028784041   ao  300   12   350.000 0.7608   2.6180
 -8.31058647868861827e-08  1.26179911228698960e+00  3.11123931767937122e-04
  1.37250761395414286e-05 -4.53262360586088475e-09 -8.94452216571298944e-11
  2.02483340909173828e-14  2.78404653182299354e-16 -4.62086059678286416e-20
 -5.07068921002113189e-22  5.83087246215425914e-26  5.73634065216689468e-28
