 -1.82972146270867138e-26  1.02030833244284265e-28  4.21327183717453446e-31
B0531+21    8-Jan-15  223000.00   57030.93749999990             0.000051  0.410 -8.444
    -15525648.385619   29.669488747730   wb  300   12  1650.000                
 -3.01645433038052698e-09 -6.14305637434690577e-02 -5.00908899859512634e-06
  7.21457317866477822e-10  5.34083113211082523e-12 -7.01364411897927666e-16
 -3.33221519457556932e-18  1.03748823640027666e-21 -2.72251858104349373e-24
 -1.81668864373394770e-26  6.76646202750595113e-29  1.60128793690761247e-31
B0531+21    9-Jan-15   33000.00   57031.14583333330             0.000051  0.421 -8.269
    -14991616.409251   29.669488747730   wb  300   12  1650.000                
  4.75496076451121803e-09 -6.37384246892069156e-02 -2.03716620365563745e-06
  4.90672296570821763e-09  6.02635605768583542e-13 -4.67984561793562488e-15
 -3.82239511311523706e-19  9.13181299888749900e-22  6.97731836238116222e-25
  4.21121737270864164e-26 -1.97436924538522955e-29 -5.40806909502330110e-31
B0531+21    9-Jan-15   83000.00   57031.35416666660             0.000051  0.419 -8.458
    -14457584.790607   29.669488747730   wb  300   12  1650.000                
 -4.39690155029697155e-10 -6.37557297732533612e-02  1.49750365151397077e-06
  1.78702647370375162e-09 -5.03445816485798869e-12 -1.71791756792268721e-15
  3.31597804653987165e-18  1.81190516315529555e-21 -6.00584881952183078e-24
 -4.85160711402562175e-26  8.14562384469844044e-29  7.97980220350524644e-31
B0531+21    9-Jan-15  123000.00   57031.52083333330             0.000051  0.413 -8.254
    -14030359.360394   29.669488747730   wb  300   12  1650.000                
  1.91548918208805040e-09 -6.30188488146239956e-02  9.75084947854191771e-07
 -3.10206613093244777e-09 -4.19836189356819513e-12  2.98952573877054752e-15
  2.68306747244309955e-18 -3.06833004254576699e-21 -7.64360043891779546e-25
  6.64758762555820128e-26 -8.02647042258045697e-30 -9.23786107895883232e-31
B0531+21    9-Jan-15  173000.00   57031.72916666660             0.000051  0.414 -8.362
    -13496327.489854   29.669488747730   wb  300   12  1650.000                
 -2.42378131001230713e-09 -6.35736444599526995e-02 -3.04066758981982796e-06
 -4.50182719102858591e-09  2.21041997222069109e-12  4.30505069103629254e-15
 -1.42606331911337877e-18 -1.09951761931057013e-21  1.15847354981222407e-24
 -4.49678082002741512e-26 -1.22872882948049731e-29  7.94501385689874457e-31
B0531+21    9-Jan-15  223000.00   57031.93749999990             0.000051  0.426 -8.369
    -12962296.132822   29.669488747730   wb  300   12  1650.000                
 -6.13573417488272104e-09 -6.62297199014928589e-02 -4.99300796088349640e-06
  8.05447561913888763e-10  5.32756937257889175e-12 -7.92612040440849398e-16
 -3.44777549538945110e-18  2.21174217405333835e-21  2.98450642725112917e-24
 -6.66000862930419879e-26 -2.32474379828834121e-29  8.92796862120391843e-31
B0531+21   10-Jan-15   33000.00   57032.14583333330             0.000051  0.437 -8.249
    -12428265.592783   29.669488747730   wb  300   12  1650.000                
  4.74222780354638818e-09 -6.85097546628672116e-02 -1.97210787997518440e-06
  4.91553236910087152e-09  5.10622669866933060e-13 -4.69041467458748765e-15
 -3.52831944157116985e-19  1.12148865820818497e-21  1.33245485567724992e-24
  3.41038588246618785e-26 -1.86046444129986706e-29 -4.21784351484811716e-31
B0531+21   10-Jan-15   83000.00   57032.35416666660             0.000051  0.435 -8.436
    -11894235.400171   29.669488747730   wb  300   12  1650.000                
 -2.37502658249270741e-09 -6.84951195534664881e-02  1.52528811158415627e-06
  1.70764917522144198e-09 -5.06669347987816042e-12 -1.63591658834434483e-15
  3.26978710337260295e-18  1.08191127624019133e-21 -2.80815878829528904e-24
 -1.77366497206953030e-26  2.75528269777502878e-29  3.30877058982585008e-31
B0531+21   10-Jan-15  123000.00   57032.52083333330             0.000051  0.429 -8.233
    -11467011.106954   29.669488747730   wb  300   12  1650.000                
  4.27610168997580748e-09 -6.77591177376909576e-02  9.45330137780925125e-07
 -3.16755657186028576e-09 -4.13904252018618481e-12  3.05279497180758517e-15
  2.61450882419100823e-18 -3.24857072362736407e-21  7.09885727022068907e-25
  7.66927095015699459e-26 -3.24069906195511163e-29 -1.12933807464225111e-30
B0531+21   10-Jan-15  173000.00   57032.72916666660             0.000051  0.430 -8.453
    -10932980.662343   29.669488747730   wb  300   12  1650.000                
 -7.84116630386946052e-10 -6.83412005173723441e-02 -3.08626602815232152e-06
 -4.46636926340157861e-09  2.29415745673846947e-12  4.28724995536098394e-15
 -1.40574439142787761e-18 -2.83417109210183436e-21 -2.29600477747475427e-24
  3.16506356711714243e-26  4.57562797959581007e-29 -3.85643945406371453e-31
B0531+21   10-Jan-15  223000.00   57032.93749999990             0.000051  0.443 -8.448
    -10398950.738157   29.669488747730   wb  300   12  1650.000                
 -1.96909116151726686e-09 -7.10079855396793247e-02 -4.97565360109542694e-06
  8.89083864948768617e-10  5.31062219433783350e-12 -8.55471714272975694e-16
 -3.32790992398736109e-18  7.30728572102784590e-22 -1.86583141567921333e-24
 -5.60740961139603989e-27  5.20322239698760917e-29 -1.79951327070465061e-32
B0531+21   11-Jan-15   33000.00   57033.14583333330             0.000051  0.453 -8.235
     -9864921.628084   29.669488747730   wb  300   12  1650.000                
  5.01289541507815562e-09 -7.32596448353036306e-02 -1.90666937003220965e-06
  4.92295187370321202e-09  4.17346083120155242e-13 -4.71058468370891954e-15
 -2.09757500100448782e-19  2.36634889432199003e-21 -2.38092422292234225e-24
 -1.87945728834789793e-26  3.72569865965721878e-29  4.05677618748654720e-31
B0531+21   11-Jan-15   83000.00   57033.35416666660             0.000051  0.450 -8.415
     -9330892.855076   29.669488747730   wb  300   12  1650.000                
  3.75545490872262349e-10 -7.32131960668777615e-02  1.55242229536338967e-06
  1.62776114957222823e-09 -5.09828287998690188e-12 -1.55608801194363807e-15
  3.32417358037208976e-18  8.14796246363505057e-22 -4.59451362859977860e-24
 -9.38372518762861524e-27  5.79658017075230341e-29  2.04167632993413104e-31
B0531+21   11-Jan-15  123000.00   57033.52083333330             0.000051  0.445 -8.223
     -8903669.693779   29.669488747730   wb  300   12  1650.000                
  6.47657959739001755e-09 -7.24783871874421087e-02  9.15099422168174318e-07
 -3.23212327327940189e-09 -4.07894076602419010e-12  3.11622323312012335e-15
  2.59790289023698532e-18 -3.28556224270160744e-21 -5.48285801092263838e-25
  7.20874549240374790e-26 -7.96064892268002857e-30 -9.91647708928926929e-31
B0531+21   11-Jan-15  173000.00   57033.72916666660             0.000051  0.446 -8.439
     -8369640.668807   29.669488747730   wb  300   12  1650.000                
 -1.43506075459223672e-09 -7.30877026440465843e-02 -3.13114692721697220e-06
 -4.42945956394366404e-09  2.37792643604531132e-12  4.23479738053059789e-15
 -1.47438043575853702e-18 -1.33013581227144523e-21 -1.28612407690678770e-24
 -2.46025919619075294e-26  2.62396325480726776e-29  3.92108139144709866e-31
B0531+21   11-Jan-15  223000.00   57033.93749999990             0.000051  0.458 -8.400
